link,title,writer
http://www.espn.com/nhl/story/_/id/25177678/nhl-adidas-reinvents-original-six-jerseys-ea-sports-nhl-19,Adidas reinvents Original Six jerseys in EA Sports' 'NHL 19',greg
http://www.espn.com/nhl/story/_/id/25155563/early-nhl-awards-race-update-hart-norris-selke-vezina-calder-adams,"NHL awards race: Early leaders for Hart, Vezina, Norris and more",greg
http://www.espn.com/nhl/story/_/id/25155303/blades-steel-vs-nintendo-ice-hockey-30-years-later,Blades of Steel vs. Nintendo Ice Hockey -- which was better?,greg
http://www.espn.com/nhl/story/_/id/25146847/former-kings-defenseman-slava-voynov-applies-reinstatement,Former Kings defenseman Slava Voynov applies for reinstatement,greg
http://www.espn.com/nhl/story/_/id/25139187/nhl-power-rankings-week-4-players-need-step-all-31-teams,NHL Power Rankings: Players who must step up for all 31,greg
http://www.espn.com/nhl/story/_/id/25134291/the-nhl-best-halloween-costumes-2018-connor-mcdavid-william-karlsson-marc-andre-fleury-more,The NHL's best Halloween costumes for 2018,greg
http://www.espn.com/espn/now?nowId=21-41041620-4,"Goalie Jonathan Quick is out indefinitely for the Los Angeles Kings after knee surgery, which is the last thing the last-place team in the NHL wanted to hear. But how dire is this news?

Since the start of the 2015-16 season, the Kings have a record of 81",greg
http://www.espn.com/nhl/story/_/id/25127823/nhl-johnny-walker-arizona-state-best-player-world-week,Johnny Walker from Arizona State is the best player in the world of the week,greg
http://www.espn.com/nhl/story/_/id/25125986/nhl-ranking-top-lines-including-bergeron-marchand-pastrnak-landeskog-mackinnon-rantanen-more,"Ranking the top lines, including Bergeron-Marchand-Pastrnak, Landeskog-MacKinnon-Rantanen and more",greg
http://www.espn.com/espn/now?nowId=21-41041290-4,"In announcing sports wagering deal with MGM, NHL commissioner Gary Bettman says don't expect NFL-style injury reports or changes to injury disclosure. ""I don't know about that. Our players tend to play hurt. I don't know that we have any interest in chang",greg
http://www.espn.com/nhl/story/_/id/25105536/nhl-why-dallas-stars-goaltender-ben-bishop-goalie-analytics,Why Dallas Stars goaltender Ben Bishop is against goalie analytics,greg
http://www.espn.com/nhl/story/_/id/25088981/your-guide-stealing-tossed-pucks-children,Your guide to stealing tossed pucks from children,greg
http://www.espn.com/nhl/story/_/id/25087998/nhl-vegas-golden-knights-honeymoon-second-season-how-keep-fans-engaged,How Vegas is building on the team's massive first-year success,greg
http://www.espn.com/nhl/story/_/id/25080867/with-red-wings-starving-goals-curly-fries-promotion-made-easier,"With Red Wings starving for goals, curly fries promotion made easier",greg
http://www.espn.com/nhl/story/_/id/25080416/nhl-philadelphia-flyers-center-sean-couturier-gets-gritty-prove-2018-19,"Sean Couturier gets Gritty, has something to prove",greg
http://www.espn.com/espn/now?nowId=21-41040454-4,"New York Islanders goalie Thomas Greiss decided to revisit one of the most infamous moments in team history on his mask this season: Their ‘Fish Sticks' jerseys, worn from 1995-97. Those sweaters featured a wavy teal, blue and orange color design reminisc",greg
http://www.espn.com/espn/now?nowId=21-41040232-4,"The return of John Tavares to face the New York Islanders for the first time on Feb. 28, 2019, just took on some added intrigue. The Islanders announced the game has been moved from Barclays Center to NYCB LIVE, home of the Nassau Veterans Memorial Colise",greg
http://www.espn.com/nhl/story/_/id/25065832/nhl-oral-history-10-year-anniversary-sarah-palin-curse-taking-blues-manny-legace,Oral history on 10-year anniversary of Sarah Palin curse taking out Blues Manny Legace,greg
http://www.espn.com/nhl/story/_/id/25062352/nhl-gabriel-landeskog-best-player-world-week,Gabriel Landeskog is the best player in the world of the week,greg
http://www.espn.com/nhl/story/_/id/25052757/nhl-nathan-mackinnon-trending-breakout-season-carrying-colorado-avalanche-new-heights,"Nathan MacKinnon trending up after breakout season, carrying Colorado Avalanche to new heights",greg
http://sports-ak.espn.go.com/nhl/story/_/id/25023858/real-vs-fake-nhl-trends-start-season?src=rss,Real or fake? Breaking down NHL's early-season trends,greg
http://www.espn.com/nhl/story/_/id/25025926/goal-tenders-say-reduction-size-chest-protectors-leading-more-pain-them,Goal tenders say the reduction in the size of chest protectors is leading to more pain for them,greg
http://www.espn.com/olympics/story/_/id/25017809/nhl-quietly-helped-usa-hockey-pay-women-national-team-players,NHL quietly helped USA Hockey pay women's national team players,greg
http://www.espn.com/nhl/story/_/id/25016380/nhl-five-reasons-why-san-jose-sharks-struggling-season,Five reasons why the San Jose Sharks are struggling this season,greg
http://www.espn.com/nhl/story/_/id/25006885/nhl-hot-seat-index-which-coaches-most-danger-being-fired,NHL Hot Seat Index: Checking in on all 31 coaches,greg
http://www.espn.com/nhl/story/_/id/25001002/nhl-adam-henrique-enjoying-tough-western-conference-battles-anaheim-ducks,Adam Henrique enjoying tough Western Conference battles with the Anaheim Ducks,greg
http://tv5.espn.com/nhl/story/_/id/24998286/nhl-why-logan-pyett-best-player-world-week,Logan Pyett is the best player in the world of the week,greg
http://www.espn.com/nhl/story/_/id/24992548/mike-matheson-florida-panthers-suspended-2-games-injuring-vancouver-canucks-rookie-elias-pettersson,Mike Matheson of Florida Panthers suspended 2 games for injuring Vancouver Canucks rookie Elias Pettersson,greg
http://www.espn.com/nhl/story/_/id/24989748/penguins-justin-schultz-miss-four-months-surgery-broken-leg,Penguins' Justin Schultz to miss four months after surgery on broken leg,greg
http://www.espn.com/espn/now?nowId=21-41038392-4,"Kyle Palmieri continued his hot start for the Devils, scoring his fifth and sixth goals of the season on Sunday in front of thousands of fans and at least one strange doll created in his honor. The forward's nickname is ""Palms,"" so Devils fan Diane Kuhn u",greg
http://www.espn.com/espn/now?nowId=21-41038435-4,"The San Jose Sharks' power play, despite the addition of Erik Karlsson, has been curiously powerless this season, going 0-for-3 in a 3-2 loss to the New Jersey Devils on Sunday. That included a failure to convert on a 6-on-4 opportunity with less than two",greg
http://www.espn.com/nhl/story/_/id/24966085/mcdavid-vs-matthews-crosby-vs-ovechkin-lacked,McDavid vs. Matthews is what Crosby vs. Ovechkin lacked,greg
http://www.espn.com/espn/now?nowId=21-41037932-4,"The NHL released a statement on Friday regarding the reduction of Nashville forward Austin Watson's suspension for domestic assault by a neutral arbitrator on appeal.  

""We have reviewed Arbitrator Shyam Das' opinion in the NHLPA's appeal of Austin Watso",greg
https://www.yahoo.com/blogs/nhl-puck-daddy/agree-nhl-regular-season-champions-banners-tremendously-stupid-213324775.html,Can we all agree that NHL regular-season champions banners are tremendously stupid?,greg
